Country,Population,Total_Cases,Total_Deaths,Tot_Cases/1M pop,Tot_Deaths/1M pop,Death_percentage
Afghanistan,40462186,177827,7671,4395,190,4.313743132
Albania,2872296,273870,3492,95349,1216,
Algeria,45236699,265691,6874,5873,,2.587215976
Andorra,77481,40024,153,516565,1975,0.382270638
Angola,34654212,99194,1900,2862,55,1.915438434
Anguilla,15237,2700,9,177200,591,0.333333333
Antigua and Barbuda,99348,7493,135,75422,1359,1.801681569
Argentina,45921761,9041124,128065,196881,2789,1.416472111
Armenia,2972939,422574,8617,142140,2898,2.039169471
Aruba,107560,34051,212,316577,1971,0.622595518
Australia,26017767,4680816,6384,179908,245,0.136386476
Austria,9096360,3887355,15985,427353,1757,0.411205048
Azerbaijan,10299156,792061,9697,76905,942,1.224274393
Bahamas,399822,33295,788,83275,1971,2.36672173
Bahrain,1804995,556241,1471,308168,815,0.264453717
Bangladesh,167561502,1951770,29122,11648,174,1.492081546
Barbados,287991,59938,375,208125,1302,0.625646501
Belarus,9443882,965322,6844,102217,725,0.708986224
Belgium,11677924,3851048,30826,329772,2640,0.800457434
Belize,410260,57289,656,139641,1599,1.14507148
Benin,12678649,26952,163,2126,13,0.604778866
Bermuda,61875,12564,128,203055,2069,1.018783827
Bhutan,786480,31437,12,39972,15,0.038171581
Bolivia,11951714,902448,21896,75508,1832,2.426289382
Bosnia and Herzegovina,3245097,375693,15719,115773,4844,4.184001299
Botswana,2434708,305526,2686,125488,1103,0.879139582
Brazil,215204501,29999816,660269,139401,3068,2.200910166
British Virgin Islands,30583,6155,62,201256,2027,1.007311129
Brunei ,444812,135974,213,305689,479,0.156647594
Bulgaria,6856886,1140679,36568,166355,5333,3.205809873
Burkina Faso,21905848,20853,382,952,17,1.831870714
Burundi,12510155,38519,38,,3,0.098652613
Cabo Verde,566557,,401,98772,708,0.716583274
Cambodia,17123941,135747,3054,7927,178,2.249773476
Cameroon,27701805,119544,1927,4315,70,1.611958777
Canada,38321435,3499226,37690,91312,984,1.077095335
CAR,4976719,14649,113,2944,23,0.771383712
Caribbean Netherlands,26650,8574,33,321726,1238,0.384884535
Cayman Islands,67073,20606,24,307218,358,0.116470931
Chad,17250246,7308,191,424,11,2.613574165
Channel Islands,176668,69036,156,390767,883,0.22596906
Chile,19403451,3486653,56750,,2925,1.627635443
China,1439323776,154738,4638,108,3,2.99732451
Colombia,51832231,6085926,139660,117416,2694,2.294802796
Comoros,902011,8093,160,8972,177,1.977017175
Congo,5755689,24071,385,4182,67,1.599435005
Cook Islands,17592,2118,0,120396,0,0
Costa Rica,5175547,839368,8308,162180,1605,0.98979232
Croatia,4060951,1102730,15601,271545,3842,1.414761546
Cuba,11314513,1092547,8514,96562,752,0.779279976
Curaçao,165268,40671,267,246091,1616,0.656487423
Cyprus,1222745,439964,947,359817,774,0.215244884
Czechia,10743762,3830631,39720,356545,3697,1.036904886
Denmark,5827911,2919428,5762,500939,989,0.19736743
Djibouti,1013146,15590,189,15388,187,1.212315587
Dominica,72299,11891,63,164470,,0.529812463
Dominican Republic,11038333,578130,4375,52375,396,0.756750212
Democratic Republic of the Congo,94323344,86748,1337,920,14,1.541245908
Ecuador,18111933,859890,35421,47476,1956,4.119247811
Egypt,105711844,505264,24417,4780,231,4.832523196
El Salvador,6543499,161570,4120,24692,630,2.549978338
Equatorial Guinea,1483588,15903,183,10719,123,1.150726278
Eritrea,3632329,9728,103,2678,28,1.058799342
Estonia,1328097,558706,2468,420682,1858,0.441735009
Eswatini,1181191,69851,,59136,1180,1.995676511
Ethiopia,119945147,469819,7504,3917,63,1.597210841
Faeroe Islands,49188,34237,28,696044,569,0.081782866
Falkland Islands,3657,123,0,33634,0,0
Fiji,907817,64422,834,70964,919,1.294588805
Finland,5555788,889626,3178,160126,572,0.357228768
France,65526369,25997852,142506,396754,2175,0.548145285
French Guiana,312224,79075,394,253264,1262,0.498261144
French Polynesia,283751,72318,646,254864,2277,0.893276916
Gabon,2317612,47586,303,20532,131,0.636741899
Gambia,2535418,11988,365,4728,144,3.044711378
Georgia,3975762,1649222,16756,414819,4215,1.015994208
Germany,84252947,21646375,130563,256921,1550,0.603163347
Ghana,32207812,160971,1445,4998,45,0.897677221
Gibraltar,33673,16979,101,504232,2999,0.594852465
Greece,10333930,3077711,27684,297826,2679,0.899499661
Greenland,56942,11971,21,210231,369,0.175423941
Grenada,113436,14024,218,123629,1922,1.554478038
Guadeloupe,400244,130705,843,326563,2106,0.64496385
Guatemala,18495493,830745,17325,44916,937,2.085477493
Guinea,13755881,36459,440,2650,32,1.206835075
Guinea-Bissau,2049374,8151,170,3977,83,2.085633665
Guyana,793196,63272,1226,79768,1546,1.93766595
Haiti,11645833,30549,833,2623,72,2.726766834
Honduras,10180299,421062,10880,41360,1069,2.583942507
Hong Kong,7603455,1171422,8172,154064,1075,0.69761367
Hungary,9617409,1854198,45510,192796,4732,2.454430433
Iceland,345120,181830,101,526860,293,0.055546389
India,1403754381,43029044,521388,30653,371,1.211711792
Indonesia,278586508,6019981,155288,21609,557,2.579543025
Iran,85874667,7167646,140315,83466,1634,1.95761621
Iraq,41801625,2320260,25173,55506,602,1.084921517
Ireland,5034333,1471210,6786,292235,1348,0.461252982
Isle of Man,85821,28416,84,331108,979,0.295608108
Israel,9326000,3943153,10530,422813,1129,
Italy,60306185,14846514,159784,246186,2650,1.076239176
Ivory Coast,27520953,81761,,2971,29,0.973569306
Jamaica,2983794,128811,2893,43170,970,2.245926202
Japan,125798669,6653841,28248,52893,225,0.424536745
Jordan,10380442,1689314,14003,162740,1349,0.828916353
Kuwait,4381108,629525,2554,143691,583,0.405702712
Kenya,55843563,323454,5648,5792,101,1.746152467
Kiribati,122656,3067,13,25005,106,0.423866971
Kuwait,4381108,629525,2554,143691,583,0.405702712
Kyrgyzstan,6712569,200968,2991,29939,446,1.488296644
Laos,7460338,183560,679,24605,91,0.369906298
Latvia,1849698,802534,5643,433873,3051,0.703147779
Lebanon,6771939,1092995,10315,161401,1523,0.943737163
Lesotho,2171978,32910,697,15152,321,2.117897296
Liberia,5265647,7400,294,1405,56,3.972972973
Libya,7034832,501738,6419,71322,912,1.279352969
Liechtenstein,38320,16429,84,428732,2192,0.51129101
Lithuania,2655811,1030966,8907,388193,3354,0.863947017
Luxembourg,643801,216979,1037,337028,1611,0.477926435
Macao,664828,82,0,123,0,0
Madagascar,28936285,64050,1388,2213,48,2.167056987
Malawi,19994654,85664,2626,4284,131,3.065465073
